Product ID,Product Name,Category,Product Code,Barcode,Price (NAD),Inventory,Supplier ID
P0001,White Bread,Bread and Cereals,P0001,2.96E+12,8.63,150,S002
P0002,Wholegrain Bread,Bread and Cereals,P0002,4.93E+12,25.23,62,S003
P0003,Rye Bread,Bread and Cereals,P0003,1.56E+12,9.32,121,S004
P0004,"Oats (Rolled, Steel-cut, Instant)",Bread and Cereals,P0004,9.89E+12,92.29,297,S005
P0005,"Rice (White, Brown, Basmati, Jasmine)",Bread and Cereals,P0005,8.38E+12,36.96,311,S001
P0006,Maize/Cornmeal,Bread and Cereals,P0006,1.12E+12,115.03,91,S002
P0007,Wheat Flour,Bread and Cereals,P0007,8.44E+12,54.34,89,S003
P0008,Cornflakes,Bread and Cereals,P0008,6.92E+12,19.82,204,S004
P0009,Oatmeal,Bread and Cereals,P0009,7.31E+12,127.89,319,S005
P0010,Puffed Rice,Bread and Cereals,P0010,7.66E+12,16.43,160,S001
P0011,Barley,Bread and Cereals,P0011,7.36E+12,88.72,370,S002
P0012,Quinoa,Bread and Cereals,P0012,1.80E+12,100.88,405,S003
P0013,Millet (including Mahangu),Bread and Cereals,P0013,7.68E+12,45.31,335,S004
P0014,Muesli,Bread and Cereals,P0014,7.42E+12,28.58,191,S005
P0015,Breakfast Cereals,Bread and Cereals,P0015,2.26E+12,93.32,97,S001
P0016,"Pasta (Spaghetti, Penne, Macaroni)",Bread and Cereals,P0016,3.87E+12,72.03,148,S002
P0017,"Beef (Fresh, Processed)",Meat,P0017,4.86E+12,104.27,441,S003
P0018,Pork,Meat,P0018,5.03E+12,124.16,422,S004
P0019,Chicken,Meat,P0019,8.06E+12,43.82,118,S005
P0020,Duck,Meat,P0020,6.54E+12,35.83,265,S001
P0021,Lamb,Meat,P0021,3.51E+12,43.41,136,S002
P0022,"Game Meat (Venison, etc.)",Meat,P0022,5.62E+12,113.32,229,S003
P0023,Sausages,Meat,P0023,7.37E+12,36.8,80,S004
P0024,Deli Meats,Meat,P0024,9.68E+12,18.18,34,S005
P0025,Bacon,Meat,P0025,2.93E+12,27.16,91,S001
P0026,Ham,Meat,P0026,7.77E+12,60.33,249,S002
P0027,Liver,Meat,P0027,5.42E+12,145.81,450,S003
P0028,Meat Offal,Meat,P0028,1.21E+12,103.64,68,S004
P0029,Jerky,Meat,P0029,6.99E+12,21.18,232,S005
P0030,"Meat Alternatives (Tofu, Tempeh, Seitan)",Meat,P0030,8.98E+12,5.47,379,S001
P0031,Granulated Sugar,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0031,9.93E+12,137.33,455,S002
P0032,Brown Sugar,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0032,6.25E+12,127.04,269,S003
P0033,Powdered Sugar,"Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0033,4.50E+12,27.16,400,S004
P0034,"Jams and Preserves (Strawberry, Apple, Mixed Fruit)","Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0034,1.01E+12,91.85,260,S005
P0035,"Honey (Raw, Processed)","Sugar, Jam, Honey, Syrups, Chocolate, and Confectionery",P0035,2.97E+12,139.72,459,S001
